type_id,sub_object,sub_object_code,object,object_code,character,character_code
19,Settlements,425990,Other Forfeitures & Penalties,425,Fines; Forfeitures & Penalties,425
20,Travel Costs Paid To Vendors,521020,Travel,TRAVEL,Non-Personnel Services,NON_PERS_SVCS
21,Dental Coverage,516010,Dental Coverage,DENTAL_COVER,Mandatory Fringe Benefits,MAND_FRING_BEN
22,Marriage License,420921,Other Licenses & Permits,OTH_LIC_PERM,"Licenses, Permits,& Franchises",LIC_PERM_FRAN
23,RetremntPretaxPlus-CityMiscNew,470192,Retirement - Contributions,470,Contribtns (Ret;Hss;Hlth Care),470
24,Retiree Contrib-CCSF- Medical,473241,Health Svc Fund-Employee Contr,HLTH_SVC_FUND_EMPL_C,Charges for Services,CHGS_FOR_SERVICES
25,Curb Cut Assessment Fee,460691,Public Safety Service Charges,460,Charges For Services,460
26,Land Acquisition Cost,566990,Land,LAND_PUR,Capital Outlay,CAP_OUTLAY
27,Uniforms,545310,Safety,SAFETY,Materials & Supplies,MTL_SUPP
28,Exp Rec Fr Gen City Resp AAO,486350,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
29,Cat Registration,460505,Humane Services,460,Charges For Services,460
30,Foster Care Shadows,03614,Aid Assistance,536,Aid Assistance,536
31,Street Cleaning State Highway,460801,Highway Service Charges,460,Charges For Services,460
32,Transit Cash Fares,466301,Transit Cash Fares,TRANS_CASH_FARE,Charges for Services,CHGS_FOR_SERVICES
33,Health Service - Other,515990,Health Service,HLTH_SVC,Mandatory Fringe Benefits,MAND_FRING_BEN
34,Air Travel - Non-Employees,521040,Travel,521,Non Personnel Services,521
35,SB 208 Spd,466008,State Bill Revenues,STATE_BILL_REV,Charges for Services,CHGS_FOR_SERVICES
36,Exp Rec Fr Med Exam-Coronr AAO,486210,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
37,Ret Posttax+Pnsion-CityFireNew,470140,Retirement - Contributions,470,Contribtns (Ret;Hss;Hlth Care),470
38,Preplan Application Meeting,461103,Planning & Engineering Svcs,461,Charges For Services,460
39,Day Care Assistance,536210,Day Care Assistance,536210,Aid Assistance,AID_ASSIST
40,CalWorks Moe Subaccount,445512,State-Hlth & Welfare Sales Tax,445,Intergovernmental Rev-State,445
41,Employee Parking,435232,Parking Garage/Lot Rentals,PARK_GAR_LOT_RENT,Rents & Concessions,RENTS_CONCESSIONS
42,Berth & Mooring Fees - East,462672,Rec & Park-Service Charges,462,Charges For Services,460
43,Medical Records Abstract Sales,476252,Proceed frm Sale-Other City Pr,PROC_SALE_OTH_CITY_P,Other Revenues,OTH_REV
44,GF-Civil Service,581260,Svcs Of Other Depts -AAO Funds,581,Services Of Other Depts,581
45,Rent-Governmental Agency,477951,SFO-Miscellaneous,SFO_MISC,Other Revenues,OTH_REV
46,Massage Employee Penalties,460617,Public Safety Service Charges,460,Charges For Services,460
47,Agricultural Commissioner Salary,60683,Public Safety Service Charges,460,Charges For Services,460
48,Lumber,542410,Building & Constructn Supplies,542,Materials & Supplies,540
49,Davies Symphony Hall Rental,435531,Cultural Facilities-Rentals,435,Rents & Concessions,435
50,Temp Nurse Regular Salaries,506010,Temp Nurse Salaries,TEMP_NURSE,Salaries,SALARIES
51,Port-Misc Receipts,475999,Port-Other Non Operating Rev,475,Other Revenues,475
52,Facilities Maintenance-Budget,500010,Facilities Maintenance-Budget,500010,Facilities Maintenance,FAC_MNTC
53,ITO To 2S-Cdb-Comm Dev Block,595025,Intrafund Transfers Out (Ito),595,Intrafund Transfers Out,595
54,Other Fees,526990,Court Fees and Other Comp,COURT_FEES_OTH_COMP,Non-Personnel Services,NON_PERS_SVCS
55,Secured Instl 5-8 Yr Plan,410140,Property Taxes-Prior Year,410,Property Taxes,410
56,Ret Payout - SP & Vac - Misc,510210,Permanent Salaries-Misc,501,Salaries,501
57,Fixed Coupon & Repurchase Income,30420,Other Investment Income -Gross,430,Interest & Investment Income,430
58,Architectural Services,527010,Professional/Specialized Svcs,PROF_SPEC_SVC,Non-Personnel Services,NON_PERS_SVCS
59,Adoption Services State-Admin,445103,State-Public Assistance Admin,445,Intergovernmental Rev-State,445
60,Ret Pretax-City Misc New Jul 2010,70166N,Retirement - Contributions,470,Contribtns (Ret;Hss;Hlth Care),470
61,Subpoena,461104,Planning & Engineering Svcs,461,Charges For Services,460
62,IP Adj County Indigent FC117,465777,Inpatient Contl Rev Deduct,INPATIENT_REVDEDUCT,Charges for Services,CHGS_FOR_SERVICES
63,Solid Waste Impound Acct Fee,460148,General Government Services,GENL_GOVT_SVCS,Charges for Services,CHGS_FOR_SERVICES
64,Medical FQHC,65315,Outpatient Revenues,465,Charges For Services,460
65,I-P Admin Write-Off,465830,Revenue Deductions,465,Charges For Services,460
66,Lumber,542410,Building/Construction Supplies,BLDG_CNST_SUP,Materials & Supplies,MTL_SUPP
67,Other Current Expenses - Bdgt,535000,Other Current Expenses,OTH_CURR_EXP,Non-Personnel Services,NON_PERS_SVCS
68,OTI Fr 2S/PPF-PublicProtectnFd,493018,Other Operating Transfers In,OTH_OPER_TRNS_IN,Transfers In,OPER_TFR_IN
69,Debris Boxes,460641,Public Safety Service Charges,460,Charges For Services,460
70,"Ret Pickup, Misc (Old)",470123,Retirement - Contributions,470,Contribtns (Ret;Hss;Hlth Care),470
71,CTO To 5M-Ptc-Muni Railway Fd,591030,Gen Fund Subsidy Transfer Out,592,Operating Transfers Out,591
72,OTO To 3C-CCS-CW Comm SystemCP,591446,Other Operating Transfers Out,593,Operating Transfers Out,591
73,Exp Rec From Mohcd,486450,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
74,"Fringe-Hlth City Share,Unknown City Plan",73178,Health Serv Fund-Emply Contrib,469,Charges For Services,460
75,HSS Cash Option Pay-Platform,01523,Health Service,515,Mandatory Fringe Benefits,513
76,Spcl Inspection & Testing Svcs,527090,Profess & Specialized Svcs,527,Non Personnel Services,521
77,Use 40145(IHSS Admin Health Title XIX),45165,State-Public Assistance Admin,445,Intergovernmental Rev-State,445
78,Self Insurance Contributions,472100,Self-Insurance,SELF_INSUR,Contributions Ret/HSS/HlthCare,CONTRIB_RET_HSS_HLTH
79,Title Iv-B Child Welfare Svcs,440148,Federal-Publc Assistance Admin,440,Intergovernmental Rev-Federal,440
80,Exp Rec Fr Asian Arts Museum (Non-AAO),875AA,Recovery for Svcs to Non-AAO Fds,875,Expenditure Recovery,865
81,Equipment Purchase-Budget,560000,Equipment Purchase,EQUIP_PURCH,Capital Outlay,CAP_OUTLAY
82,Resale Of Gas,533130,Power for Resale,POWER_RESALE,Non-Personnel Services,NON_PERS_SVCS
83,Traffic Fines - Moving,425110,Traffic Fines,TRAFFIC_FINES,"Fines, Forfeiture, & Penalties",FINE_FORF_PENAL
84,Management Consulting Services,527510,Profess & Specialized Svcs,527,Non Personnel Services,521
85,Bond Issuance Cost-Unamortized,573110,Debt Issuance Cost,DEBT_ISS_COST,Debt Service,DEBT_SERVICE
86,Credit Card Fee Capacity Chrgs,535920,Other Current Expenses,535,Non Personnel Services,521
87,GF-District Attorney,581320,Svcs Of Other Depts -AAO Funds,581,Services Of Other Depts,581
88,Local Transportation Fd Admin,460141,General Government Services,GENL_GOVT_SVCS,Charges for Services,CHGS_FOR_SERVICES
89,Rrp-Rca(Fed-Admin),440137,Federal - Pub Assistance Admin,FED_PUB_ASS_ADMIN,Intergovernmental: Federal,INTER_REV_FED
90,7 Day Passport-Cable Car,466207,Transit Cable Car Revenue,TRANS_CABLE_CAR_REV,Charges for Services,CHGS_FOR_SERVICES
91,ITIFr4DCopCertOfParticipatnBnd,495020,Intrafund Transfers In (Iti),495,Intrafund Transfers In,495
92,Sr-DPW-Street Repair,581078,Svcs Of Other Depts -AAO Funds,581,Services Of Other Depts,581
93,Peace Officer Training,448923,State-Other,STATE_OTHER,Intergovernmental: State,INTERGOV_REV_ST
94,Health Pretax - Kaiser,473102,Health Serv Fund-Emply Contrib,469,Charges For Services,460
95,Investment Services,527230,Professional/Specialized Svcs,PROF_SPEC_SVC,Non-Personnel Services,NON_PERS_SVCS
96,Rental Tank Farm Area,467611,SFO-Fuel: Oil & Other Services,SFO_FUEL_OIL_OTH_SVC,Charges for Services,CHGS_FOR_SERVICES
97,Short-Doyle I-P ContractualAdj,465805,Revenue Deductions,465,Charges For Services,460
98,HB OP MCare Mgd HMO FC110,465370,HB Outpatient Revenue,HB_OUTPATIENT_REV,Charges for Services,CHGS_FOR_SERVICES
99,Boiler Permit,461155,Planning & Engineering Svcs,461,Charges For Services,460
100,Exp Rec Fr Bldg Inspection (Non-AAO),875BI,Recovery for Svcs to Non-AAO Fds,875,Expenditure Recovery,865
101,Perm Salaries-Misc-Regular,501010,Permanent Salaries-Misc,501,Salaries,501
102,ITI Fr 2S-Ctf-Courts' Fund,495037,Intrafund Transfers In (Iti),495,Intrafund Transfers In,495
103,Fed Grants Pass-Thru State-Oth,444931,Federal-Other,444,Intergovernmental Rev-Federal,440
104,Foster Care Cws-Health Service,536160,Foster Care Cws-Health Service,536160,Aid Assistance,AID_ASSIST
105,Gas Tax Prop-111 Sec2105 Conty,448912,State - Other,448,Intergovernmental Rev-State,445
106,Affordable Housing Fee,75411,Devlpmnt Impact Fee & Exaction,475,Other Revenues,475
107,Exp Rec Fr Rent Arbitration (Non-AAO),875RB,Recovery for Svcs to Non-AAO Fds,875,Expenditure Recovery,865
108,Medical-Health Care Evaluation,05622,Hlth Svc Fnd-City Hlth Plan Ex,556,Fiduciary-Benefit Payments,555
109,OTO To 5P-Port of SanFrancisco,591370,Other Operating Transfers Out,OTH_OPER_TF_OUT,Transfers Out,OPER_TFR_OUT
110,Exp Rec Fr Asian Arts Musm AAO,486010,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
111,OP Adj Self-pay FC4,465844,Outpatient Contl Rev Deduct,OUTPATIENT_REVDEDUCT,Charges for Services,CHGS_FOR_SERVICES
112,Exp Rec Fr Cleanwater (AAO),486800,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
113,Advertising,535810,Other Current Expenses,535,Non Personnel Services,521
114,GF-Tax Collector,581980,GF-Tax Collector,581980,Services Of Other Depts,SVCS_OTHER_DEPTS
115,SFWD-Property Tax Reimbs,439151,SFWD-Others,439,Rents & Concessions,435
116,Prop 10 Tobacco Tax Funding,445417,State-Health Programs,445,Intergovernmental Rev-State,445
117,SurvyMonumntPresrvFeeOd#258-05,460172,General Government Services,GENL_GOVT_SVCS,Charges for Services,CHGS_FOR_SERVICES
118,OTI Fr 2S-Lib-Public LibraryFd,493013,Other Operating Transfers In,493,Operating Transfers In,491
119,Parking Meter Pay By Phone,435114,Parking Meter Collections,435,Rents & Concessions,435
120,Muni Feeder Svc To BART Statin,466103,Transit Pass Revenue,TRANS_PASS_REV,Charges for Services,CHGS_FOR_SERVICES
121,SF DPH Other Permits-Fees,552280,Taxes; Licenses & Permits,552,Non Personnel Services,521
122,OTI Fr 3C-Pli-Publ Lib FAC CP,493052,Other Operating Transfers In,493,Operating Transfers In,491
123,Exp Rec Fr Adult Probation (Non-AAO),875AP,Recovery for Svcs to Non-AAO Fds,875,Expenditure Recovery,865
124,Nc-Disability Insurance,556650,HlthSvcFnd-HMO/Dental/Disab,HLTH_SVC_HOM_DNT_DIS,Fiduciary-Benefit Payments,FID_BEN_PMT
125,Exp Rec Fr Fine Arts Musm AAO,486330,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
126,Exp Rec Fr War Memorial (AAO),486780,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
127,Fringe-Hlth City Share-Healthnet,73176,Hlth Srvc Fnd-Emp Contr-Active,469,Charges For Services,460
128,Global Payment Program (GPP),466009,State Bill Revenues,466,Charges For Services,460
129,Medical Waste-Acute Psychiatric Fac,63551,Public Health Charges,463,Charges For Services,460
130,Cap. Fees-Hlth Plan Settlemnts,465950,Net Patient Revenue,NET_PAT_REV,Charges for Services,CHGS_FOR_SERVICES
131,CashAsstPgmForImmigrntEligblty,445136,State-Public Assistance Admin,STATE_PUB_ASSIST_ADM,Intergovernmental: State,INTERGOV_REV_ST
132,"Med,Dent&Lab Eq-L-P-Fin A-Init",563710,Equip Lease/Purch/FinAgen-Init,EQUIP_LS_PUR_FINAG,Capital Outlay,CAP_OUTLAY
133,OTO To 4D/ODS-Other Debt SvcFd,591290,Other Operating Transfers Out,OTH_OPER_TF_OUT,Transfers Out,OPER_TFR_OUT
134,Street Repair State Highway,460802,Highway Service Charges,HWY_SVC_CHG,Charges for Services,CHGS_FOR_SERVICES
135,PB OP Healthy SF FC113,465673,PB Outpatient Revenue,PB_OUTPATIENT_REV,Charges for Services,CHGS_FOR_SERVICES
136,ITI Fr 2S-Crf-Culture & Rec Fd,495005,Intrafund Transfers In (Iti),495,Intrafund Transfers In,495
137,Fortune Teller Permit Fees,460651,Public Safety Service Charges,460,Charges For Services,460
138,Postage,535610,Other Current Expenses,OTH_CURR_EXP,Non-Personnel Services,NON_PERS_SVCS
139,FBO-Other Services,467651,SFO-Fuel; Oil & Other Srvcs,467,Charges For Services,460
140,ITO To 5M-Ptc-Muni Railway Fd,595250,Intrafund Transfers Out (Ito),595,Intrafund Transfers Out,595
141,Other Bldg Maint Supplies,542990,Building & Constructn Supplies,542,Materials & Supplies,540
142,Misc-Sick Pay,501020,Permanent Salaries - Misc,PERM_SAL_MISC,Salaries,SALARIES
143,Is-Purch-Reproduction,581820,Is-Purch-Reproduction,581820,Services Of Other Depts,SVCS_OTHER_DEPTS
144,Hlthy SF W-Out Hcci-C-A-O-PAdj,465860,Revenue Deductions,465,Charges For Services,460
145,Nc-Flex Benefit-Tpa Administer,556710,HlthSvcFnd-HMO/Dental/Disab,HLTH_SVC_HOM_DNT_DIS,Fiduciary-Benefit Payments,FID_BEN_PMT
146,OP Adj MCare FC2,465842,Outpatient Contl Rev Deduct,OUTPATIENT_REVDEDUCT,Charges for Services,CHGS_FOR_SERVICES
147,GF-TIS-Telephone(AAO),581360,Svcs Of Other Depts -AAO Funds,581,Services Of Other Depts,581
148,PGE Gas,420620,Franchises,420,Licenses; Permits & Franchises,420
149,Muni Weekly Passes,66107,Transit Pass Revenue,466,Charges For Services,460
150,Gas And Steam,533310,Power for Resale,POWER_RESALE,Non-Personnel Services,NON_PERS_SVCS
151,Fire Overtime Service Fees,460678,Public Safety Service Charges,PUB_SAFE_SVC_CHGS,Charges for Services,CHGS_FOR_SERVICES
152,Private Insurance O-PGrossChrg,465305,Outpatient Revenues,465,Charges For Services,460
153,Physicians,527810,Profess & Specialized Svcs,527,Non Personnel Services,521
154,Non-Air Travel - Non-Employees,521060,Travel,TRAVEL,Non-Personnel Services,NON_PERS_SVCS
155,Misc Exhibit&Perform Svc Chrgs,462899,Concerts: Exhibits & Performan,CONC_EXHIB_PRFRM,Charges for Services,CHGS_FOR_SERVICES
156,Parking Tax,412410,Parking tax,PARKING_TAX,Other Local Taxes,OTHER_LOC_TAX
157,Special Event Cash Fare,466306,Transit Cash Fares,TRANS_CASH_FARE,Charges for Services,CHGS_FOR_SERVICES
158,Health Pretax Dcap-Unknown City Plan,73151,Health Serv Fund-Emply Contrib,469,Charges For Services,460
159,SF Fire Dept Permits-Fees,552240,Taxes: Licenses/Permits,TAX_LIC_PERM,Non-Personnel Services,NON_PERS_SVCS
160,CalWorks Eligblity State-Admin,445131,State-Public Assistance Admin,445,Intergovernmental Rev-State,445
161,Additional Electrical Inspectn,461142,Planning & Engineering Svcs,461,Charges For Services,460
162,Comm Paper Principal Repaymnt,571410,Debt Redemption,DEBT_REDEMP,Debt Service,DEBT_SERVICE
163,Exp Rec Fr Hss (AAO),486410,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
164,OTO To 5L-Lagna Hnda Hosptl Fd,591330,Other Operating Transfers Out,593,Operating Transfers Out,591
165,HB OP SFHPSFHN MCal Mgd FC108,465368,HB Outpatient Revenue,HB_OUTPATIENT_REV,Charges for Services,CHGS_FOR_SERVICES
166,Mission Bartlett Garage,435213,Parking Garage/Lot Rentals,PARK_GAR_LOT_RENT,Rents & Concessions,RENTS_CONCESSIONS
167,HB IP Self-pay FC4,465244,HB Inpatient Revenues,HB_INPATIENT_REV,Charges for Services,CHGS_FOR_SERVICES
168,Exp Rec Fr CleanpowerSF AAO,486185,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
169,OTOTo3C-Pli-PublicLibraryFacCP,591225,Other Operating Transfers Out,593,Operating Transfers Out,591
170,Hetchy Cap&Trade-Oth Non-OpRev,479988,Other Non-Operating Revenues,479,Other Revenues,475
171,340B Pharmaceutical Prog Expan,465919,Net Patient Revenue,NET_PAT_REV,Charges for Services,CHGS_FOR_SERVICES
172,ChildPovrty&FamlySupprtSubacct,445513,State-Hlth & Welfare Sales Tax,445,Intergovernmental Rev-State,445
173,Medi-Cal Home Health,465321,HB Outpatient Revenue,HB_OUTPATIENT_REV,Charges for Services,CHGS_FOR_SERVICES
174,Temp Rent Assistance,539130,Oth Support & Care of Persons,539,Other Support&Care Of Persons,539
175,IP Adj MCare FC2,465742,Inpatient Contl Rev Deduct,INPATIENT_REVDEDUCT,Charges for Services,CHGS_FOR_SERVICES
176,"Med,Dent&Lab Eq-L-P-Fin A-Init",563710,Eq Lease-Purch-Fin Agcy-Initia,563,Capital Outlay,560
177,Healthy Housing Program-Hotels,463571,Public Health Charges,PUB_HLTH_CHG,Charges for Services,CHGS_FOR_SERVICES
178,Telephone Chrgs (Tis Use Only),532310,Utilities,532,Non Personnel Services,521
179,Disc Single Ride Tckt Booklet,466304,Transit Cash Fares,466,Charges For Services,460
180,Construction Contracts,527040,Professional/Specialized Svcs,PROF_SPEC_SVC,Non-Personnel Services,NON_PERS_SVCS
181,Custom Work,479701,Custom Work&Svc-Othr Govt Agnc,479,Other Revenues,475
182,DT CONâ€Financial System,581141,DT CONâ€Financial System,581141,Services Of Other Depts,SVCS_OTHER_DEPTS
183,Receipts-Berth & Mooring Fees,462671,Rec & Park-Service Charges,462,Charges For Services,460
184,OTI Fr 5N-Parking & Traffic Fd,493032,Other Operating Transfers In,493,Operating Transfers In,491
185,Review Fees,460650,Public Safety Service Charges,460,Charges For Services,460
186,Fringe-Hlth Pickup-City Plan(Uniform ),73181,Hlth Srvc Fnd-Emp Contr-Active,469,Charges For Services,460
187,Street Artist Certificatn Fee,420360,Road Privileges & Permits,420,Licenses; Permits & Franchises,420
188,Fire Fighting Rescue Supplies,545110,Safety,545,Materials & Supplies,540
189,Overhead-Budget,520000,Overhead,OVERHEAD,Overhead and Allocations,OH_ALLOCS
190,ITO To 5L-Lagna Hnda Hosptl Fd,595240,Intrafund Transfers Out (Ito),595,Intrafund Transfers Out,595
191,OP Adj County Indigent FC117,465877,Outpatient Contl Rev Deduct,OUTPATIENT_REVDEDUCT,Charges for Services,CHGS_FOR_SERVICES
192,OTI Fr 2S-Osp-OpenSpace&ParkFd,493017,Other Operating Transfers In,493,Operating Transfers In,491
193,Healthy Housing Prog-Apartmnts,463572,Public Health Charges,463,Charges For Services,460
194,Transfer Adjustments-Uses,ELIMUD,Transfer Adjustments-Uses,ELU,Transfer Adjustments-Uses,ELU
195,Art Comm Symphony Concerts,462841,Concerts; Exhibits & Perform,462,Charges For Services,460
196,Exp Rec Fr SFCCD (AAO),865CC,Recovery for Svcs to AAO Funds,865,Expenditure Recovery,865
197,Removal Permit Fee,463511,Public Health Charges,PUB_HLTH_CHG,Charges for Services,CHGS_FOR_SERVICES
198,Health Service-Dependents,515410,Health Service,HLTH_SVC,Mandatory Fringe Benefits,MAND_FRING_BEN
199,Reimbursement From SFOTEC,477942,SFO-Miscellaneous,SFO_MISC,Other Revenues,OTH_REV
200,Net Admin & Child Care(Fed-Admin),40125,Federal-Publc Assistance Admin,440,Intergovernmental Rev-Federal,440
201,ITI Fr 5A-Airport Funds,495021,ITI Fr 5A-Airport Funds,495021,IntraFund Transfers In,INTRAFD_TFR_IN
202,Exp Rec Fr Purchaser (Non-AAO),875PR,Recovery for Svcs to Non-AAO Fds,875,Expenditure Recovery,865
203,Sugar Sweetened Beverage Tax,412920,Other Local Taxes,OTH_LOCAL_TAX,Other Local Taxes,OTHER_LOC_TAX
204,Rental 25 Van Ness Building,439811,Other City Property Rentals,OTH_CITY_PROP_RENT,Rents & Concessions,RENTS_CONCESSIONS
205,OP Adj ProvisionForBadDebts,465887,Outpatient Contl Rev Deduct,OUTPATIENT_REVDEDUCT,Charges for Services,CHGS_FOR_SERVICES
206,Convention Facilities - Rentl,435701,Conv Facilities - Rental/Conce,CONV_FAC_RENT_CONC,Rents & Concessions,RENTS_CONCESSIONS
207,Other Current Expenses,535990,Other Current Expenses,OTH_CURR_EXP,Non-Personnel Services,NON_PERS_SVCS
208,Exp Rec Fr Comm Health Service (AAO),865HC,Recovery for Svcs to AAO Funds,865,Expenditure Recovery,865
209,Exp Rec Fr Laguna Honda AAO,486390,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
210,OTI Fr 2S/CDB-CommDevBlockGrnt,493003,Other Operating Transfers In,OTH_OPER_TRNS_IN,Transfers In,OPER_TFR_IN
211,Overtime - Scheduled Misc,511010,Overtime,OVERTIME,Salaries,SALARIES
212,Davies Symphony HallOffceRentl,435539,Cultural Facilities-Rentals,435,Rents & Concessions,435
213,Sale Of Development Rights Tdr,76202,Proceed Fr Sale-Othr City Prop,476,Other Revenues,475
214,Other SF Internal Permit-FeeS,552310,Taxes: Licenses/Permits,TAX_LIC_PERM,Non-Personnel Services,NON_PERS_SVCS
215,Workers' Comp-Med Emplye Reimb,551140,Insurance,551,Non Personnel Services,521
216,Cable Tv Franchise,420630,Franchises,420,Licenses; Permits & Franchises,420
217,Concessions Equip Replacmt Fee,435614,Cultural Facilities-Concession,435,Rents & Concessions,435
218,OTI Fr 2S/CRF-Culture & Rec Fd,493007,Other Operating Transfers In,OTH_OPER_TRNS_IN,Transfers In,OPER_TFR_IN
219,Non-Signatry AirlineSurchrgFee,467161,SFO-Flight Operations,SFO_FLGHT_OPS,Charges for Services,CHGS_FOR_SERVICES
220,SSI/SSP CAAP Interim Asstnce Reimbursemt,79980,Other Non-Operating Revenues,479,Other Revenues,475
221,Lease In Perpetuity,70S001,Special Items-Inflow,70S,Special Items-Inflow,70S
222,Low Carbon Transit Offst Lctop,447501,State-Cap/Trade Funded Prog,ST_CAP_TRD_FND_PRG,Intergovernmental: State,INTERGOV_REV_ST
223,Credit Card Processing Fees,535950,Other Current Expenses,535,Non Personnel Services,521
224,Exp Rec Fr Human Rights (AAO),486580,Expend Recov Svc to AAO Fund,EXP_REC_SVC_AAO_FND,Expenditure Recovery,EXP_RECOVERY
225,Printing,535520,Other Current Expenses,OTH_CURR_EXP,Non-Personnel Services,NON_PERS_SVCS
226,Medicare I-P Gross Charges,465201,Inpatient Revenues,465,Charges For Services,460
227,Refugee Aid Payments,537710,Refugee Aid Payments,537710,Aid Payments,AID_PMTS
228,OTO To 5O-MTA-Taxi Comissn Fd,591360,Other Operating Transfers Out,OTH_OPER_TF_OUT,Transfers Out,OPER_TFR_OUT
229,Exp Rec Fr Emergency Comm Dept,486290,ISF Charges for Services to AAO Funds,860,ISF Charges for Services,860
230,OTO To 2S/CRF-Culture & Rec Fd,591100,Other Operating Transfers Out,OTH_OPER_TF_OUT,Transfers Out,OPER_TFR_OUT
231,Eraf Property Tax Allocation,410911,Other Property Taxes,410,Property Taxes,410
232,Vacant-Abandoned Building Fee,461186,Planning & Engineering Svcs,PLAN_ENG_SVCS,Charges for Services,CHGS_FOR_SERVICES
233,OTI Fr 1G for Prior Yr Adj,9301H,Other Operating Transfers In,493,Operating Transfers In,491
234,Exp Rec Fr Med Examiner/Coroner (AAO),865CM,Recovery for Svcs to AAO Funds,865,Expenditure Recovery,865
235,Medi-Cal,465102,Hospital Service Charges,HOSP_SVC_CHGS,Charges for Services,CHGS_FOR_SERVICES
236,Data Processing Equipment,560610,Equipment Purchase,EQUIP_PURCH,Capital Outlay,CAP_OUTLAY
237,Safety & Rescue Equipment,560840,Equipment Purchase,EQUIP_PURCH,Capital Outlay,CAP_OUTLAY
238,Exp Rec Fr Assessor (AAO),865AS,Recovery for Svcs to AAO Funds,865,Expenditure Recovery,865
239,Lobby Fines,425520,Ethics Fines,ETHICS_FINE,"Fines, Forfeiture, & Penalties",FINE_FORF_PENAL
240,Penaltes-Plumbng-MechanclPermt,461131,Planning & Engineering Svcs,PLAN_ENG_SVCS,Charges for Services,CHGS_FOR_SERVICES
241,ITI Fr 5C-Cleanwater ProgramFd,495022,ITI Fr 5C-Cleanwater ProgramFd,495022,IntraFund Transfers In,INTRAFD_TFR_IN
242,SF DPW Permits-Fees,552260,Taxes: Licenses/Permits,TAX_LIC_PERM,Non-Personnel Services,NON_PERS_SVCS
243,Prop C Ret Health Care Pretax,470202,Proposition B Health Care,PROPB_HLTH,Contributions Ret/HSS/HlthCare,CONTRIB_RET_HSS_HLTH
244,Temp Misc Regular Salaries,505010,Temp Misc Salaries,TEMP_MISC,Salaries,SALARIES
245,OTI FR 4D-COP-COP Bond,493065,Other Operating Transfers In,OTH_OPER_TRNS_IN,Transfers In,OPER_TFR_IN
