program_id,program,program_code,department,department_code,organization_group,organization_group_code,related_govt_units
94,Water Transmission/ Distribution,BDK,PUB Public Utilities Bureaus,PUC,"Public Works, Transportation & Commerce",2,No
95,General Fund,FDM,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
96,Economic Development,BK5,ECN Economic & Wrkfrce Dvlpmnt,ECN,"Public Works, Transportation & Commerce",2,No
97,Maintenance,MAINT,LIB Public Library,LIB,Culture & Recreation,5,No
98,No Program Defined,XXX,CRT Superior Court,CRT,Public Protection,1,No
99,MRD-Compliance & Materials Mgmt Div(CMM),BED,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
100,Admissions,EEB,FAM Fine Arts Museum,FAM,Culture & Recreation,5,No
101,No Program Defined,NKEY,ADM Gen Svcs Agency-City Admin,ADM,Culture & Recreation,5,No
102,Work Orders,EIF,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
103,No Program Defined,AXX,ADP Adult Probation,ADP,Public Protection,1,No
104,Operating,OPR,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
105,No Program Defined,NKEY,CPC City Planning,CPC,General Administration & Finance,6,No
106,Children's Baseline,FAL,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
107,Water Transmission/ Distribution,BDK,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
108,Customer Services,BCE,TTX Treasurer/Tax Collector,TTX,General Administration & Finance,6,No
109,No Program,No Program Code,DPH Public Health,DPH,Community Health,4,No
110,Moscone Expansion Project,BGP,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
111,Parking & Traffic,BE2,DT GSA - Technology,TIS,General Administration & Finance,6,No
112,Cable Television Access,FAD,BOS Board Of Supervisors,BOS,General Administration & Finance,6,No
113,Substance Abuse - Community Care,DMS,CRT Superior Court,CRT,Public Protection,1,No
114,Maintenance,MAINT,DPH Public Health,DPH,Community Health,4,No
115,Water Transmission/ Distribution,BDK,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
116,Substance Abuse - Acute Care,DQS,DPH Public Health,DPH,Community Health,4,No
117,Maintenance-CPC Funded,MAINC,AAM Asian Art Museum,AAM,Culture & Recreation,5,No
118,SFGH - Acute Care - Hospital,D1H,DT GSA - Technology,TIS,General Administration & Finance,6,No
119,Recycling,CIS,ENV Environment,ENV,Human Welfare & Neighborhood Development,3,No
120,Capital,CAP,POL Police,POL,Public Protection,1,No
121,Comm Hlth - Prevention - Disease Control,DPD,DPH Public Health,DPH,Community Health,4,No
122,Medical Examiner - Investigative Service,ASN,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
123,Water Programmatic Projects,BCK,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
124,Comm Hlth - Community Support - Eap,DSE,DPH Public Health,DPH,Community Health,4,No
125,DPW Interdepartment Work Order Program,BX1,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
126,Wastewater Operations,BAX,AIR Airport Commission,AIR,"Public Works, Transportation & Commerce",2,No
128,Animal Welfare,AUA,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
129,Municipal Court Services,AMA,CRT Superior Court,CRT,Public Protection,1,Yes
130,No Program Defined,XXX,RET Retirement System,RET,General Administration & Finance,6,Yes
131,Capital,CAP,BOA Board of Appeals,BOA,"Public Works, Transportation & Commerce",2,No
132,Administration,FCW,HRD Human Resources,HRD,General Administration & Finance,6,No
133,Capital,CAP,DAT District Attorney,DAT,Public Protection,1,No
134,Technical Services,FDL,ASR Assessor / Recorder,ASR,General Administration & Finance,6,No
135,Turf Management,EAB,REC Recreation & Park Commsn,REC,Culture & Recreation,5,No
136,Administrative,ADMIN,HSA Human Services Agency,HSA,Human Welfare & Neighborhood Development,3,No
137,City Capital Projects,BAW,CPC City Planning,CPC,General Administration & Finance,6,No
138,Water Distribution,BCA,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
139,Engineering,BCU,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
140,Maintenance-CPC Funded,MAINC,ADM GSA - City Administrator,ADM,General Administration & Finance,6,No
141,Departmental Fund Transfer,BZZ,DBI Building Inspection,DBI,"Public Works, Transportation & Commerce",2,No
142,Citywide Planning,FAH,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
143,Administration,BDA,PUB Public Utilities Bureaus,PUC,"Public Works, Transportation & Commerce",2,No
144,Reproduction Services,FCB,DT GSA - Technology,TIS,General Administration & Finance,6,No
145,Accounting Automation,AMM,CRT Superior Court,CRT,Public Protection,1,No
146,No Program,No Program Code,TTX Treasurer/Tax Collector,TTX,General Administration & Finance,6,No
147,Moscone Expansion Project,BGP,ADM Gen Svcs Agency-City Admin,ADM,Culture & Recreation,5,No
148,Water Supply & Power Operations,BCB,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
149,MRD-Construction Division (Const),BEK,DPH Public Health,DPH,Community Health,4,No
150,Treasure Island Jail,AKQ,SHF Sheriff,SHF,Public Protection,1,No
151,Fingerprint,ACF,POL Police,POL,Public Protection,1,No
152,Capital-CPC Funded,CAPCP,ART Arts Commission,ART,Culture & Recreation,5,No
153,Branch Program,EEG,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
154,Prevention & Investigation,API,FIR Fire Department,FIR,Public Protection,1,No
155,No Program Defined,XXX,MYR Mayor,MYR,General Administration & Finance,6,No
156,Juvenile Hall Replacement Debt Payment,AKS,JUV Juvenile Probation,JUV,Public Protection,1,No
157,Diversion And Community Integration Prog,CGP,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
158,911 Project,BIX,DT GSA - Technology,TIS,General Administration & Finance,6,No
159,No Program Defined,XXX,JUV Juvenile Probation,JUV,Public Protection,1,No
160,Disaster Recovery,RCVY,ART Arts Commission,ART,Culture & Recreation,5,No
161,Administration,FCW,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
162,Facilities & Equipment,ASP,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
163,Operating,OPR,ART Arts Commission,ART,Culture & Recreation,5,No
164,Farmer's Market,AOA,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,Yes
165,Disaster Recovery,RCVY,PRT Port,PRT,"Public Works, Transportation & Commerce",2,No
166,Maintenance-CPC Funded,MAINC,FIR Fire Department,FIR,Public Protection,1,No
167,Disaster Recovery,RCVY,DBI Building Inspection,DBI,"Public Works, Transportation & Commerce",2,No
168,No Program Defined,XXX,USD County Education Office,USD,Human Welfare & Neighborhood Development,3,No
169,Technology-COIT Funded,TECHC,HRD Human Resources,HRD,General Administration & Finance,6,No
170,Clean Air,CIO,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
171,Capital Programs & Construction,BE7,DT GSA - Technology,TIS,General Administration & Finance,6,No
172,Disaster Recovery,RCVY,DEM Emergency Management,DEM,Public Protection,1,No
173,Turf Management,EAB,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
174,Development And Planning,BEB,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
175,Hetch Hetchy Capital Projects,BCP,LIB Public Library,LIB,Culture & Recreation,5,No
176,Child Support Services Program,CAF,CSS Child Support Services,CSS,Human Welfare & Neighborhood Development,3,Yes
177,Disability Access,FAV,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
178,Human Rights Commission,CAD,HRC Human Rights Commission,HRC,Human Welfare & Neighborhood Development,3,No
179,Fire Port Fireboat,AEL,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
180,Capital Projects,ECS,CAT City Attorney,CAT,General Administration & Finance,6,No
181,SFGH - Ambu Care - Family Health Center,D3F,DPH Public Health,DPH,Community Health,4,No
182,Parking,BKP,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
183,Fire Investigation,AEE,FIR Fire Department,FIR,Public Protection,1,No
184,Primary Care - Comm Supp - Ihss,DSH,DPH Public Health,DPH,Community Health,4,No
185,Emergency Services,BIV,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
186,Operations & Maintenance,BGE,PRT Port,PRT,"Public Works, Transportation & Commerce",2,No
187,Reseidential Hotel Preservation,BRH,DBI Building Inspection,DBI,"Public Works, Transportation & Commerce",2,No
188,Engineering,BGD,PRT Port,PRT,"Public Works, Transportation & Commerce",2,No
189,Technology,TECH,HRD Human Resources,HRD,General Administration & Finance,6,No
190,Operating,OPR,CON Controller,CON,General Administration & Finance,6,No
191,General City Responsibilities,FCZ,CHF Children;Youth & Families,CHF,Human Welfare & Neighborhood Development,3,No
321,Special Investigations,ACR,POL Police,POL,Public Protection,1,No
192,Chinese Historical Society,FHS,MYR Mayor,MYR,General Administration & Finance,6,No
193,Superior Court Services,AMF,CRT Superior Court,CRT,Public Protection,1,No
194,Parking Garages & Lots,BE5,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
195,Central Shops,FDA,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
196,Operating,OPR,REG Elections,REG,General Administration & Finance,6,No
197,Family And Children's Service,CAL,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
198,Transitional-Aged Youth Baseline,FAY,CHF Children;Youth & Families,CHF,Human Welfare & Neighborhood Development,3,No
199,Street Use Management,BAT,SHF Sheriff,SHF,Public Protection,1,No
200,Maintenance,MAINT,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
201,Development & Planning,EAC,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
202,Environmental Regulation And Management,BAY,WWE Wastewater Enterprise,CWP,"Public Works, Transportation & Commerce",2,No
203,City Capital Projects,BAW,CAT City Attorney,CAT,General Administration & Finance,6,No
204,Special Events,EVENT,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
205,Medical Examiner - Investigative Service,ASN,ADM Gen Svcs Agency-City Admin,ADM,Public Protection,1,No
206,Capital Programs & Construction,BE7,CPC City Planning,CPC,General Administration & Finance,6,No
207,DPW Labor Cost Distribution,BLC,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
208,Finance And Administration,BL2,ECN Economic & Wrkfrce Dvlpmnt,ECN,"Public Works, Transportation & Commerce",2,No
209,Crime Control,AC3,MYR Mayor,MYR,General Administration & Finance,6,No
210,Technology-COIT Funded,TECHC,TTX Treasurer/Tax Collector,TTX,General Administration & Finance,6,No
211,City Capital Projects,BAW,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
212,Capital,CAP,CON Controller,CON,General Administration & Finance,6,No
213,Maintenance,BKY,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
214,SFGH - Ambu Care - Adult Med Hlth Cntr,D3A,DPH Public Health,DPH,Community Health,4,No
215,Disability Access,FAV,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
216,Affordable Housing,FFC,CII Commty Invest & Infrstrctr,CII,Human Welfare & Neighborhood Development,3,Yes
217,Bio-Diversity,CIY,ENV Environment,ENV,Human Welfare & Neighborhood Development,3,No
218,Operating,OPR,FAM Fine Arts Museum,FAM,Culture & Recreation,5,No
219,Medi-Cal,CAJ,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
220,Mental Health - Children's Program,FAM,DPH Public Health,DPH,Community Health,4,No
221,Treasury,FCL,TTX Treasurer/Tax Collector,TTX,General Administration & Finance,6,No
222,Disaster Recovery,RCVY,HSA Human Services Agency,HSA,Human Welfare & Neighborhood Development,3,No
223,Maintenance,MAINT,DT  GSA - Technology,TIS,General Administration & Finance,6,No
224,City Capital Projects,BAW,FIR Fire Department,FIR,Public Protection,1,No
225,Medical Examiner - Medical Services,ASM,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
226,Children's Fund Programs,CBI,CHF Children;Youth & Families,CHF,Human Welfare & Neighborhood Development,3,No
227,Criminal And Special Defense,AIB,SHF Sheriff,SHF,Public Protection,1,No
228,Administrative,ADMIN,PUC Public Utilities Commsn,PUC,"Public Works, Transportation & Commerce",2,No
229,Capital,CAP,ADP Adult Probation,ADP,Public Protection,1,No
230,Adult Services,CIL,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
231,Real Estate Services,FFI,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
232,Maintenance,MAINT,DAT District Attorney,DAT,Public Protection,1,No
233,Capital Asset Planning,FAU,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
234,Technology-COIT Funded,TECHC,FIR Fire Department,FIR,Public Protection,1,No
235,Substance Abuse - Prevention,DVS,DPH Public Health,DPH,Community Health,4,No
236,Exemptions,FD9,ASR Assessor / Recorder,ASR,General Administration & Finance,6,No
237,Taxi Enforcement,ACE,POL Police,POL,Public Protection,1,No
238,Current Planning,FDP,CPC City Planning,CPC,General Administration & Finance,6,No
239,Welfare to Work,CGV,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
240,Disaster Recovery,RCVY,DPA Police Accountabilty,DPA,Public Protection,1,No
241,Agency Wide Expenses,BEG,MTA Municipal Transprtn Agncy,MTA,"Public Works, Transportation & Commerce",2,No
242,Capital-CPC Funded,CAPCP,FAM Fine Arts Museum,FAM,Culture & Recreation,5,No
243,Administrative,ADMIN,ADM GSA - City Administrator,ADM,General Administration & Finance,6,No
244,No Program Defined,XXX,CHF Children;Youth & Families,CHF,Human Welfare & Neighborhood Development,3,No
245,Special Events,EVENT,PUC Public Utilities Commsn,PUC,"Public Works, Transportation & Commerce",2,No
246,Power Retail Services,BDF,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
247,Central Administration,DHA,DPH Public Health,DPH,Community Health,4,No
248,Parking & Traffic,BE2,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
249,Civic Design,EET,ART Arts Commission,ART,Culture & Recreation,5,No
250,Disaster Recovery,RCVY,HRC Human Rights Commission,HRC,Human Welfare & Neighborhood Development,3,No
251,Maintenance-CPC Funded,MAINC,FAM Fine Arts Museum,FAM,Culture & Recreation,5,No
252,T T X - Working Families Credit,FE1,TTX Treasurer/Tax Collector,TTX,General Administration & Finance,6,No
253,Technology,TECH,PRT Port,PRT,"Public Works, Transportation & Commerce",2,No
254,No Program Defined,XXX,CSS Child Support Services,CSS,Human Welfare & Neighborhood Development,3,Yes
255,Capital-CPC Funded,CAPCP,GEN General City / Unallocated,GEN,General City Responsibilities,7,No
256,Community Development,BAQ,CAT City Attorney,CAT,General Administration & Finance,6,No
257,Capital-CPC Funded,CAPCP,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
258,Environmental Planning,FFP,CPC City Planning,CPC,General Administration & Finance,6,No
259,Mental Health - Long Term Care,DLT,DPH Public Health,DPH,Community Health,4,No
260,Operating,OPR,DT  GSA - Technology,TIS,General Administration & Finance,6,No
261,No Program Defined,XXX,PDR Public Defender,PDR,Public Protection,1,No
262,Immigrant And Language Services,FFN,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
263,Refugee Resettlement Program,CAW,HSA Human Services Agency,DSS,Human Welfare & Neighborhood Development,3,No
264,Crime Control,AC3,POL Police,POL,Public Protection,1,No
265,Surveys And Mapping,BAU,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
266,Law Library,EEA,LLB Law Library,LLB,Culture & Recreation,5,No
267,County Clerk Services,AME,CRT Superior Court,CRT,Public Protection,1,Yes
268,Operating,OPR,WAR War Memorial,WAR,Culture & Recreation,5,No
269,Retirement Services,FDD,RET Retirement System,RET,General Administration & Finance,6,Yes
270,No Program,No Program Code,CHF Children;Youth & Families,CHF,Human Welfare & Neighborhood Development,3,No
271,Operating,OPR,JUV Juvenile Probation,JUV,Public Protection,1,No
272,Family Violence Program,AIJ,DAT District Attorney,DAT,Public Protection,1,No
273,Grants For The Arts,FEQ,MYR Mayor,MYR,General Administration & Finance,6,No
274,Emergency Services,BIV,DEM Emergency Management,ECD,Public Protection,1,No
275,Safety & Security,BGG,AIR Airport Commission,AIR,"Public Works, Transportation & Commerce",2,No
276,PUC Land Management,BCZ,WTR Water Enterprise,WTR,"Public Works, Transportation & Commerce",2,No
277,Digital Services Program,FD2,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
278,Planning & Development,BKW,POL Police,POL,Public Protection,1,No
279,Maintenance Of Streetlights,BC1,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
280,Patrol,ACX,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
281,No Program Defined,XXX,BOS Board Of Supervisors,BOS,General Administration & Finance,6,No
282,Hetch Hetchy Power,BDN,HHP Hetch Hetchy Water & Power,HHP,"Public Works, Transportation & Commerce",2,No
283,Library Administration,EIB,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
284,Water Capital Projects,BCI,PUB Public Utilities Bureaus,PUC,"Public Works, Transportation & Commerce",2,No
285,Child Support Services Program,CAF,DAT District Attorney,DAT,Public Protection,1,No
286,Plan Review Services,BPS,DBI Building Inspection,DBI,"Public Works, Transportation & Commerce",2,No
287,Work Order Services,AEH,FIR Fire Department,FIR,Public Protection,1,No
288,Operating,OPR,ADP Adult Probation,ADP,Public Protection,1,No
289,Emergency Communications,BIR,DPW GSA - Public Works,DPW,"Public Works, Transportation & Commerce",2,No
290,555 Seventh Street Building,FEZ,ADM Gen Svcs Agency-City Admin,ADM,General Administration & Finance,6,No
291,Development & Planning,EAC,ART Arts Commission,ART,Culture & Recreation,5,No
292,Clean Air,CIO,ENV Environment,ENV,Human Welfare & Neighborhood Development,3,No
293,Disaster Recovery,RCVY,PDR Public Defender,PDR,Public Protection,1,No
294,Comm Hlth - Administration,DHC,DPH Public Health,DPH,Community Health,4,No
295,Alternative Programs,AKL,SHF Sheriff,SHF,Public Protection,1,No
296,Operating,OPR,RET Retirement System,RET,General Administration & Finance,6,Yes
297,Operating,OPR,POL Police,POL,Public Protection,1,No
298,Transitional-Aged Youth Baseline,FAY,MYR Mayor,MYR,General Administration & Finance,6,No
299,Operating,OPR,FIR Fire Department,FIR,Public Protection,1,No
300,Collection Technical Services,EGD,LIB Public Library,LIB,Culture & Recreation,5,No
301,Climate Change/Energy,CIP,ENV Environment,ENV,Human Welfare & Neighborhood Development,3,No
302,Capital,CAP,FIR Fire Department,FIR,Public Protection,1,No
303,Water Programmatic Projects,BCK,CAT City Attorney,CAT,General Administration & Finance,6,No
